time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-30T16:21:44.430Z,38.8261681,-122.7955017,2.51,0.98,md,15,66,0.01171,0.03,nc,nc72782706,2017-03-30T18:47:02.495Z,"6km W of Cobb, California",earthquake,0.29,0.52,0.15,4,automatic,nc,nc
2017-03-30T15:40:06.120Z,-23.3997,-179.6897,540.72,4.9,mb,,118,6.01,0.98,us,us10008dbm,2017-03-30T16:01:00.040Z,"South of the Fiji Islands",earthquake,11.1,7.7,0.091,38,reviewed,us,us
2017-03-30T15:31:19.523Z,61.7825,-148.5152,11.8,1.7,ml,,,,0.56,ak,ak15648123,2017-03-30T15:39:33.692Z,"17km E of Sutton-Alpine, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-03-30T15:15:17.478Z,60.1529,-140.9573,0.5,1.9,ml,,,,0.66,ak,ak15648121,2017-03-30T15:19:34.831Z,"82km E of Cape Yakataga, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-03-30T15:03:04.445Z,37.5292,-117.4022,3,0.7,ml,13,92.8,0.172,0.1629,nn,nn00583685,2017-03-30T17:02:15.515Z,"24km SW of Goldfield, Nevada",earthquake,,2.7,0.31,6,reviewed,nn,nn
2017-03-30T14:58:48.912Z,62.8712,-152.1079,9.7,1,ml,,,,0.8,ak,ak15648117,2017-03-30T15:06:08.649Z,"119km WNW of Talkeetna, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-03-30T14:58:24.150Z,37.4308333,-119.0446667,2.55,1.75,md,26,143,0.1206,0.07,nc,nc72782701,2017-03-30T19:45:03.654Z,"25km SSW of Mammoth Lakes, California",earthquake,0.24,1.25,0.311,23,reviewed,nc,nc
2017-03-30T14:57:05.830Z,38.822,-122.8045,2.76,0.24,md,10,131,0.004571,0.03,nc,nc72782696,2017-03-31T03:58:02.810Z,"6km NW of The Geysers, California",earthquake,0.48,0.47,0.11,3,reviewed,nc,nc
2017-03-30T14:50:09.630Z,47.7478333,-122.0841667,21.04,1.44,ml,16,96,0.1994,0.19,uw,uw61249817,2017-03-30T18:16:40.510Z,"0km NW of Cottage Lake, Washington",earthquake,0.4,1.3,0.229,13,reviewed,uw,uw
2017-03-30T14:48:30.640Z,36.2807,-97.517,5,2.8,mb_lg,,27,0.206,0.12,us,us10008db5,2017-03-30T15:02:16.040Z,"20km W of Perry, Oklahoma",earthquake,1.3,1.8,0.077,44,reviewed,us,us
2017-03-30T14:44:58.460Z,55.1848,-159.5044,42.79,3.7,mb,,193,0.58,1.12,us,us10008db2,2017-03-30T15:10:48.040Z,"44km N of Chernabura Island, Alaska",earthquake,8.1,20.3,0.291,3,reviewed,us,us
2017-03-30T14:41:26.640Z,38.815834,-122.7628326,1.45,0.87,md,12,75,0.01418,0.03,nc,nc72782681,2017-03-30T15:14:01.858Z,"3km WSW of Cobb, California",earthquake,0.34,0.47,0.05,3,automatic,nc,nc
2017-03-30T14:25:39.915Z,63.266,-150.5878,131.1,2.1,ml,,,,0.37,ak,ak15648105,2017-03-30T15:04:19.760Z,"83km W of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-03-30T14:23:24.532Z,60.6565,-152.235,90.8,1.3,ml,,,,0.42,ak,ak15648102,2017-03-30T14:28:11.353Z,"33km NE of Redoubt Volcano, Alaska",earthquake,,1.2,,,automatic,ak,ak
2017-03-30T14:10:47.400Z,32.6758333,-115.8538333,5.75,1.68,ml,25,84,0.06426,0.16,ci,ci37844704,2017-03-30T18:39:38.290Z,"15km ESE of Ocotillo, CA",earthquake,0.24,0.63,0.17,27,reviewed,ci,ci
2017-03-30T13:21:41.400Z,33.7668333,-116.7575,13.19,1.63,ml,55,33,0.04058,0.18,ci,ci37844640,2017-03-30T14:57:04.620Z,"5km NW of Idyllwild, CA",earthquake,0.18,0.41,0.161,26,reviewed,ci,ci
2017-03-30T13:21:29.127Z,59.9507,-152.2153,82.3,1.2,ml,,,,0.1,ak,ak15648084,2017-03-30T13:23:23.566Z,"28km NW of Anchor Point, Alaska",earthquake,,3.8,,,automatic,ak,ak
2017-03-30T13:20:03.292Z,61.4474,-146.7136,27.8,1.4,ml,,,,0.82,ak,ak15648082,2017-03-30T13:23:23.351Z,"40km NNW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-03-30T13:19:30.900Z,46.191,-122.175,5.02,-0.21,md,5,198,0.02525,0.19,uw,uw61249792,2017-03-30T18:10:26.050Z,"37km NE of Amboy, Washington",earthquake,0.78,1.43,,1,reviewed,uw,uw
2017-03-30T13:16:11.760Z,38.8061667,-122.8198333,3.34,0.35,md,22,117,0.007783,0.04,nc,nc72782666,2017-03-30T17:43:02.337Z,"6km WNW of The Geysers, California",earthquake,0.28,0.29,0.103,4,reviewed,nc,nc
2017-03-30T13:13:08.110Z,-55.6977,-27.0356,10,5.4,mb,,61,5.623,0.92,us,us10008d9x,2017-03-30T13:35:57.040Z,"112km N of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,5.7,1.8,0.067,75,reviewed,us,us
2017-03-30T12:54:57.456Z,36.7593,-116.2236,5.5,-0.2,ml,6,186.58,0.033,0.0843,nn,nn00583722,2017-03-31T02:36:53.731Z,"50km ESE of Beatty, Nevada",earthquake,,2.8,0,1,reviewed,nn,nn
2017-03-30T12:36:29.673Z,61.493,-146.7351,24.2,2,ml,,,,0.58,ak,ak15647894,2017-03-30T12:40:55.378Z,"45km NNW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-03-30T12:20:43.129Z,36.7218,-116.2117,3,-0.1,ml,9,116.45,0.006,0.1022,nn,nn00583715,2017-03-31T02:36:51.962Z,"53km ESE of Beatty, Nevada",earthquake,,1.3,0.07,4,reviewed,nn,nn
